time (source1)	Light
0	32
1.007	32
2.032	32
2.999	32
4.041	32
5.039	32
6.076	31
7.076	31
8.083	31
9.092	31
10.136	31
11.092	30
12.061	30
13.069	29
14.155	29
15.172	28
17.182	28
18.197	27
19.201	28
20.191	27
21.198	28
22.194	28
23.246	28
24.218	29
25.237	29
26.293	30
27.247	30
28.264	31
29.312	31
30.285	31
31.284	31
32.329	31
33.338	31
34.337	32
35.356	32
36.398	32
37.36	32
38.405	32
39.407	32
40.412	32
41.44	32
42.432	32
43.436	32
44.463	32
45.456	32
46.491	31
47.506	30
48.508	31
49.499	31
50.531	32
51.535	32
52.533	32
53.57	32
54.612	32
55.636	32
56.64	32
57.645	31
58.685	31
59.692	31
61.681	32
62.721	32
63.684	32
64.719	32
65.746	32
66.742	32
67.744	32
68.776	32
69.767	32
70.805	32
71.829	32
72.795	32
73.797	32
74.834	32
75.825	32
76.862	32
77.877	32
78.894	32
79.871	32
80.9	31
81.894	31
82.892	32
83.956	31
84.951	31
85.955	31
86.965	31
87.967	31
88.942	31
90	31
91.005	31
92.011	31
93.031	31
93.971	31
94.997	31
96.024	31
97.03	31
98.053	32
99.086	32
100.118	32
101.114	32
102.114	33
103.11	33
104.17	33
105.161	33
106.162	33
107.14	32
108.147	32
109.183	33
110.206	32
111.238	32
112.234	32
113.204	32
114.248	32
115.223	32
116.28	31
117.279	31
118.278	31
119.273	31
120.319	31
121.308	31
122.326	31
123.343	31
124.34	31
125.327	31
126.392	31
127.385	31
128.386	31
129.383	31
130.412	31
131.392	31
132.401	32
133.417	32
134.417	32
135.378	32
136.464	32
137.453	32
138.477	33
139.486	33
140.525	33
141.497	33
142.506	33
143.51	32
144.527	32
145.565	32
146.57	31
147.598	31
148.587	31
149.599	30
150.6	29
151.605	29
152.657	28
153.62	28
154.63	28
155.642	28
156.648	28
157.706	29
158.704	30
159.687	30
160.714	31
161.741	31
162.742	31
163.719	32
164.786	33
165.776	33
166.771	32
167.764	32
168.8	31
169.789	31
170.802	30
171.85	29
172.862	29
173.839	28
174.859	28
175.824	28
176.839	28
177.903	28
178.923	28
179.923	28
180.942	27
181.91	1
182.955	1
183.95	29
184.946	31
185.999	32
186.998	32
187.992	32
188.985	32
189.994	32
191.049	31
192.045	31
193.048	31
194.049	31
195.053	31
196.11	31
197.084	31
198.108	30
199.105	30
200.106	30
201.105	30
202.123	30
203.171	29
204.144	29
205.161	26
206.195	27
207.202	29
208.181	29
209.223	28
210.233	28
211.223	28
212.238	28
213.242	28
214.292	28
215.299	27
216.298	27
217.237	28
218.345	28
219.34	28
220.345	27
221.332	28
222.361	28
223.342	28
224.355	28
225.354	28
226.403	28
227.413	28
228.393	28
229.433	28
230.415	29
231.475	29
232.437	29
233.451	29
235.476	30
236.48	31
237.509	31
238.542	31
239.522	31
240.514	32
241.557	32
242.538	32
243.572	32
244.583	32
245.585	32
246.623	32
247.583	32
248.612	31
249.614	31
250.666	31
251.68	31
252.684	30
253.678	30
254.685	29
255.685	29
256.683	29
257.674	28
258.673	28
259.719	28
260.765	27
261.76	28
262.763	28
263.76	28
264.835	28
265.826	28
266.814	28
267.811	28
268.807	28
269.867	28
270.867	28
271.868	28
272.861	28
273.93	29
274.918	29
275.916	28
276.921	29
277.918	29
278.919	29
279.96	29
280.953	29
281.941	29
282.986	29
283.99	28
284.974	28
286.013	28
287.003	28
288.038	28
289.039	28
290.044	28
291.052	28
292.044	28
293.086	28
294.107	28
295.076	27
296.136	28
297.136	28
298.129	28
299.067	29
300.065	29
301.18	30
302.17	30
303.195	31
304.221	31
305.203	31
306.189	31
307.208	31
308.27	32
309.247	32
310.251	32
311.297	32
312.273	33
313.292	32
314.285	32
315.33	32
316.323	31
317.311	31
318.32	31
319.34	31
320.361	31
321.359	30
322.36	30
323.391	30
324.411	29
325.401	29
326.42	29
327.463	28
328.473	28
329.453	28
330.468	28
331.462	27
332.511	28
333.504	28
334.499	28
335.5	29
336.558	29
337.557	30
338.554	30
339.474	31
340.52	31
341.564	31
342.623	32
343.619	32
344.598	32
345.654	32
346.649	32
347.641	31
348.637	31
349.686	31
350.697	30
351.669	29
352.693	29
353.692	28
354.695	28
355.745	28
356.757	28
357.742	28
358.742	28
359.791	29
360.76	29
361.773	30
362.784	30
363.816	31
364.817	31
365.817	31
366.864	32
367.859	32
368.904	32
369.891	32
370.877	32
371.88	32
372.881	32
373.909	32
374.938	31
375.948	31
376.947	31
377.944	31
378.954	30
379.984	30
380.933	29
381.949	29
383.002	28
384.005	28
385.031	28
386.021	27
387.036	28
388.073	28
389.052	28
390.087	28
391.103	29
392.091	29
393.151	29
394.099	30
395.116	30
397.139	31
398.14	31
399.161	31
400.194	31
401.177	31
402.19	31
403.216	32
404.219	32
405.221	32
406.272	32
407.28	32
408.281	32
409.274	32
410.284	32
411.341	32
412.339	32
413.348	32
414.349	32
415.33	32
416.352	32
417.35	32
418.366	32
419.373	32
420.432	31
421.373	31
422.349	31
423.415	31
424.469	31
425.468	31
426.467	31
427.446	31
428.461	31
429.51	31
430.494	31
431.543	31
433.513	31
435.582	31
436.562	31
437.558	31
438.559	31
439.614	31
440.625	31
441.609	31
442.622	31
443.625	31
444.664	31
445.638	31
446.66	31
447.696	30
448.665	30
450.692	29
451.734	29
452.728	29
453.731	28
454.75	28
455.779	28
456.783	28
457.761	28
458.805	28
459.809	27
460.829	28
461.856	28
462.795	28
463.792	29
464.847	29
465.842	30
466.909	30
467.898	30
468.875	31
469.926	31
470.906	31
471.93	31
472.929	31
473.945	31
474.95	31
475.969	31
476.964	31
477.965	31
479.005	31
480.017	32
481.018	32
482.035	31
483.064	28
484.05	31
485.054	32
486.089	33
487.111	32
488.094	32
489.088	32
490.157	32
491.157	31
492.154	31
493.152	31
494.144	31
495.174	31
496.199	31
497.163	31
498.224	31
499.234	31
500.194	31
502.235	31
503.215	31
504.214	31
505.311	31
506.309	31
507.311	31
508.288	31
509.336	31
510.332	31
511.312	31
512.323	31
513.358	31
514.363	31
515.383	25
516.414	30
517.389	32